## Combination of Table 1 and Table 4 from Ribas et al. 2014; A&A 561; A54 (2014)
# Name,Fraction IRAC (%), uncertainty IRAC (%),total number IRAC,age_lower (Myr),age_upper (Myr)
25 Orionis,9,5,33,7,10
Cha I,52,6,86,2,2
Cha II,84,9,19,2,2
CrA,50,13,16,1,3
IC 348,36,3,240,2,2
λ-Orionis,26,7,43,4,4
Lupus,52,5,85,1,1.5
NGC 1333,66,6,67,1,1
Ophiuchus,25,3,214,2,5
σ-Orionis,39,6,70,2,3
Serpens,62,4,125,2,2
Taurus,63,4,180,1,2
Upper Sco,16,6,32,11,2
AB Dor,5,3,78,50,100
Argus,4,5,44,40,40
β Pic,18,6,50,10,10
Carina,4,6,27,30,30
Columba,5,4,57,30,30
η Cha,21,9,24,4,9
Octantis,6,7,17,20,20
Tuc-Hor,8,4,48,30,30
TW Hya,20,9,19,8,8
